Term ID	Term	p	fdr
GO:0098542	defense response to other organism	2.96629539870928e-07	0.00234752617853852
GO:0006952	defense response	3.94639983534998e-07	0.00312278618971244
GO:0009593	detection of chemical stimulus	4.94281428954194e-07	0.00391075466588558
GO:0050907	detection of chemical stimulus involved in sensory perception	5.09000885246352e-07	0.00402670600318389
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	7.91251455586417e-07	0.00625879901368856
GO:0045087	innate immune response	9.44569067717375e-07	0.00747059675657672
GO:0007606	sensory perception of chemical stimulus	1.77984225003109e-06	0.0140749925132459
GO:0050906	detection of stimulus involved in sensory perception	2.31054211481804e-06	0.0182694565018662
GO:0007608	sensory perception of smell	2.70651486375755e-06	0.0213977065128672
GO:0051607	defense response to virus	5.08004171402757e-06	0.040157729749388
GO:0006955	immune response	6.06186988982482e-06	0.0479130196091754
